REGISTRO_ANIMAL rgd_pai rgd_mae idade18 GC18 p550_aj GP345_aj conformacao_sob precocidade_sob musculosidade_sob umbigo_sob aol egs egp acab altura_sob pe_sob sexo safra GM_SOB
KAP3223 GRI8683 KAP1982 675 M2010N_INF 438,37 181,78 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 29,50 M 2010 N_INF
KAP3224 1752 PORT597 680 F2010S08 282,28 120,83 5,00 3,00 3,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3226 1752 PORT597 671 M2010N_INF 425,82 178,88 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 26,00 M 2010 N_INF
KAP3228 CSCN7384 KAP602 677 F2010S08 259,16 79,40 4,00 2,00 2,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3233 CSCN7384 KAP602 665 M2010N_INF 387,89 200,37 0,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 0,00 35,50 M 2010 N_INF
KAP3234 CSCN7384 QUI2668 672 F2010S08 280,73 123,25 4,00 4,00 4,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3237 CSCF551 KAP1824 670 F2010S08 295,52 119,06 5,00 5,00 5,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3238 CSCF551 KAP1514 662 M2010N_INF 361,82 194,26 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 27,50 M 2010 N_INF
KAP3239 1752 KAP2399 668 F2010S08 238,77 106,68 3,00 2,00 2,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3241 CSCF551 KAP1824 660 M2010N_INF 370,83 197,96 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 30,50 M 2010 N_INF
KAP3244 CSCN7384 VRC2971 659 M2010N_INF 366,39 186,15 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 30,50 M 2010 N_INF
KAP3245 1752 KAP1596 665 F2010S08 301,05 115,55 4,00 1,00 1,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3248 CSCN7384 KAP602 654 M2010N_INF 410,40 208,06 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 34,00 M 2010 N_INF
